# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
ECSPGSQL;60;1431289299;2888760;5344572;64.91;142276;4855780;2593420;20.87
ECSPGSQL;60;1431289359;2465300;5768032;70.06;142476;5253412;2593924;20.87
ECSPGSQL;60;1431289419;2076188;6157144;74.78;142672;5618700;2593452;20.87
ECSPGSQL;60;1431289479;1702700;6530632;79.32;142888;5969560;2593484;20.87
ECSPGSQL;60;1431289539;1327476;6905856;83.88;143092;6324512;2593484;20.87
ECSPGSQL;60;1431289599;1017104;7216228;87.65;143288;6616344;2593484;20.87
ECSPGSQL;60;1431289659;744420;7488912;90.96;143480;6873976;2593492;20.87
ECSPGSQL;60;1431289719;529048;7704284;93.57;143668;7078880;2593332;20.87
ECSPGSQL;60;1431289779;388300;7845032;95.28;143892;7216984;2593300;20.87
ECSPGSQL;60;1431289839;264168;7969164;96.79;144072;7340320;2593392;20.87
ECSPGSQL;60;1431289899;129884;8103448;98.42;144276;7474952;2593484;20.87
ECSPGSQL;60;1431289959;39612;8193720;99.52;133532;7574452;2593576;20.87
ECSPGSQL;60;1431290019;42836;8190496;99.48;127180;7578504;2593356;20.87
ECSPGSQL;60;1431290079;39364;8193968;99.52;80020;7627744;2593460;20.87
ECSPGSQL;60;1431290139;39852;8193480;99.52;44420;7663300;2593768;20.87
